ID,Ciudad,Estrato,Edad,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo,Trabajo_remoto,Transporte1,Compartido1,Tiempo1,Transporte2,Other.1,Compartido2,Tiempo2,Tecnologia_de_vehiculo,Other.2,Cilindrada,Kilometraje,Modelo,Costo_combustible,Costo_parqueadero,Costo_mantenimiento,Costo_obligaciones,Costo_depreciación,Costo_de_transporte,Comodidad,Rapidez,Costo,Conveniencia,Seguridad_personal,Menor_riesgo_de_accidente,Razones_ambientales,Salud,"Problemas_de_salud,_por_ejemplo,_discapacidad",Compromisos_tales_como_dejar_o_recoger_pasajeros,Preferencia_Trabajo_Remoto,Economia,Tiempo,Conveniencia.1,Seguridad_personal.1,Menor_riesgo_de_accidente.1,Razones_ambientales.1,No_hay_acceso_a_transporte_publico,Salud.1,"Problemas_de_salud,_por_ejemplo_discapacidad",Compromisos_tales_como_dejar_o_recoger_pasajeros.1,Otros,Desplazamientos_extra,OTROS_TRAYECTOS,Transporte_extra,Other.3,Transporte_almuerzo,Other.4,Tren,Cable,Transporte_integrado,Alimentador_de_sistema_masivo,Tranvia,Bus_o_Colectivo,Carro_propio_uso_individual,Carro_compartido_pasajero,Carro_compartido_conductor,Motocicleta_2T,Motocicleta_4T,Motocicleta_electrica,Taxi,Bicicleta_mecanica,Bicicleta_publica,Bicicleta_electrica_personal,Patineta,A_pie_o_caminata,Uber_o_similares,Bicicletas_eléctricas_compartidas_de_la_compañía,Patinetas_eléctricas_compartidas_de_la_compañía,Motivadores,Barreras,Sede,Genero,LATITUDE,LONGITUDE,Distancia_trabajo,dFlag,Viajes_std,Viajes_lab,Viajes_tr,Co2Flag_W,Co2Flag_lab_W,Co2Anual
0b9p14ku1v4xmybrql3jw0b9p143hgpr,Bello,4,38,1,1,1,1,1,0,0,1,Carro propio uso individual,,40,Cable,,,,Gasolina,,1600,23000,2019,400000,100000,500000,2300000,3000000,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,Eficiencia en tiempos,1,,Carro propio uso individual,,No requiero desplazarme,,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Salud,"distancias, y seguridad vial",C,Masculino,6.3419578,-75.5646737,15.099367338349,7-15 KM,10,0,1,38973.6400955306,0,2026629.28496759
0bga4t5h2lohihe7ankh0k30bga423p9,Medellín,2,34,1,1,1,1,1,0,0,1,Bus o colectivo,,40,Tren,,,40,,no aplica,,0,0,,,,,,10000,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,no aplica,0,0,,no aplica,A pie o caminata,,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,economía,congestión,D,Femenino,6.279562,-75.5637961,3.77893545191317,1-5 KM,10,0,1,1241.33098777388,0,64549.2113642416
0dd27cuvnl9dh5jyf0dd2u36wbkbiapb,Bogotá,3,35,1,1,1,1,1,0,0,0,Taxi,,30,Bus o colectivo,,,30,,,,,,,,,,,6000,0,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,0,2,Bus o colectivo,,A pie o caminata,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trabajo en una sede externa fuera de la ciudad, por lo tanto la encuesta en gran parte no me aplica, para llegar a la sede donde trabajo, debo desplazarme en bus o avión de acuerdo a las tarifas","En el momento por la pandemia no puedo hacer uso de busese municipales o aviones, pero no me afecta debido a las decisiones de la empresa de trabajar desde casa",D,Masculino,4.696358,-74.0952167,5.92082142803281,5-7 KM,10,2,0,15282.4921889269,427.033037383333,816895.311768129
0f8sxqwozu0fjkutz13x0f8s9gb7pks5,Medellín,5,39,1,1,1,1,1,0,0,1,Bus o colectivo,,30,No utilizo otros medios de transporte,,,,,,,,,,,,,,4500,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,Tiempo con mi hija,0,10,Uber o similares,,A pie o caminata,,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,"Rapidez, cuidado del ambiente, seguridad personal",Inseguridad,B,Femenino,6.2659495,-75.598026,4.24183015790907,1-5 KM,10,10,1,1393.38585876626,16777.4354345,944882.707249846
0fev0tjdvtcsh4zzs0fevwczeuynufw2,Medellín,3,37,0,0,0,0,0,0,0,0,A pie o caminata,,30,No utilizo otros medios de transporte,,,,,,,,,,,,,,5000,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,0,2,A pie o caminata,,No requiero desplazarme,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Solo si llueve,No me siento cómodo caminando y cuando llueva utilizo el colectivo y el bus,D,Masculino,6.2358202,-75.5563694,1.58207922876755,1-5 KM,10,2,0,0,0,0
0hxbmkjvv40p0a7spd0hxb4a9fvgrl8g,Medellín,3,25,1,1,1,1,0,0,0,1,Motocicleta 4T,,25,Transporte integrado,,,,Gasolina,,135,30000,2013,50000,40000,350000,700000,3000000,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,,1,,Motocicleta 4T,,No requiero desplazarme,,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,"Economia, tiempo, medio ambiente",Para el uso de la bicicleta o patineta: La distancia desde la casa hasta el trabajo,A,Masculino,6.1904159,-75.6042476,4.97604189809115,1-5 KM,8,0,1,1804.55957844866,0,93837.0980793304
0hyvv5iasa7tzp4izta0hyvv5ia8flo6,Envigado,3,36,1,1,1,1,1,0,0,1,Transporte integrado,,25,Tren,,,20,,,,,,,,,,,15000,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,"Ahorro tiempo y dinero, el tiempo lo invierto en estudio y lectura",1,,Taxi,,No requiero desplazarme,,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,Uno de mis sueños  es transportarme en bicicleta,"La bicicleta, actualmente no la tengo",D,Femenino,6.1631948,-75.5937434,9.57858903662642,7-15 KM,10,0,1,3146.4415155056,0,163614.958806291
0is96jiut0tz22v6a0is9nutecikkt7r,Bello,3,28,1,1,1,1,1,1,0,0,Tren,,70,Tranvia,,,10,Electrico,,,0,0,,,,,,11200,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,,0,10,Tren,,No requiero desplazarme,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,"No me molesta el usar el transporte público, el uso de la bicicleta favorecería mi salud ya que el tiempo invertido en el trayecto al trabajo lo puedo dedicar a este uso.","No tengo los recursos para comprar una moto, bicicleta, etc. Quizá la seguridad vial y estado del aire.",B,Femenino,6.3382613,-75.5478085,10.3989711337171,7-15 KM,12,10,0,3519.01183164987,1833,278304.615245793
0iv6ilrflo90utq3zzyir0iv6ilrmlxk,Medellín,4,55,1,1,1,1,1,0,0,1,Bus o colectivo,,40,Alimentador de sistema masivo,,,40,Gasolina,,1600,0,,,,,,,5000,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,evitar desplazamientos y reforzar compromiso,0,0,Carro compartido pasajero,,No requiero desplazarme,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,compromiso ambiental,ninguno,C,Femenino,6.2232869,-75.601723,2.35606891321562,1-5 KM,10,0,1,773.937895611472,0,40244.7705717966
0l5tk2wom6ssg1g8qbb0l5tk2s9oe0mh,Rionegro,2,29,1,1,1,1,1,1,1,0,Motocicleta 2T,,25,Bus o colectivo,,,,Gasolina,,110,23455,2015,60000,20000,200000,750000,1000000,0,1,1,1,1,1,0,1,1,0,0,0,,,,,,,,,,,,0,0,Bus o colectivo,,A pie o caminata,,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,"El cuidado del medio ambiente, una mejor condición física, ahorro en pasajes.",Tiempo,A,Femenino,6.1597416,-75.3936419,21.2693814911753,15-30 KM,14,0,0,33745.8300424126,0,1754783.16220546
0lkjmlo42ywvulc0lkcthezm1ov2kfam,Medellín,4,51,1,1,1,1,1,0,0,0,Bus o colectivo,,20,Taxi,,,20,,,,,,,,,,,8000,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,Mayor concentración en la tarea,1,,Taxi,,No requiero desplazarme,,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,Que hubiera seguridad para reducir el riesgo público,"La inseguridad en la zona, temor a un robo",D,Masculino,6.2534866,-75.5539167,1.68193784995082,1-5 KM,10,0,0,552.494637503455,0,28729.7211501797
0mpfqymtdmgtj4ypyp0mpfqymcl1u2lo,Envigado,6,39,1,1,1,1,1,0,0,0,Bus o colectivo,,60,Tren,,,40,,,,,,,,,,,6000,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,,1,,Taxi,,No requiero desplazarme,,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,ya uso transporte público,no tengo bicicleta,D,Femenino,6.1829669,-75.5809927,7.09295628157198,7-15 KM,10,0,0,2329.94358842067,0,121157.066597875
0nzxovg28z1wks3zvol40nzxov4lk0kt,Medellín,3,25,1,1,1,1,1,0,0,1,Bus o colectivo,,40,Bus o colectivo,,,30,Gasolina,,1600,0,0,,,,,,12000,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,"Ahorro de tiempo, economía, facilidad y tiempo libre",0,0,Alimentador de sistema masivo,,No requiero desplazarme,,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,Accesibilidad y tiempo,No hay rutas de fácil acceso al SITVA,C,Femenino,6.2500962,-75.5449389,6.67912560835916,5-7 KM,10,0,1,2194.00561200186,0,114088.291824097
0o1qjzbe5ve3u0o1qz43c991g8pgjd4h,Medellín,2,33,1,1,1,1,1,1,1,0,Transporte integrado,,68,No utilizo otros medios de transporte,,,,,,,,,,,,,,8000,0,1,1,1,1,1,1,0,0,0,0,,,,,,,,,,,,0,3,Taxi,,No requiero desplazarme,,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,Seguridad de no contacto directo,Ninguna,B,Femenino,6.2684891,-75.596866,4.29032242248529,1-5 KM,14,3,0,1973.04090892215,5033.23063035,364326.120042152
0oquvlvvk3mj125e20oqu9b1jnbkpjc8,Itagüí,2,57,1,1,1,1,1,0,0,0,Transporte empresarial,,36,Bus o colectivo,,,36,,No Tengo,,0,0,,,,,,13000,1,0,0,1,1,1,1,1,0,0,0,,,,,,,,,,,,0,1,Bus o colectivo,,,Ninguno,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,Por economía financiera y física,Ninguna,A,Masculino,6.1681832,-75.6190324,7.91362432488396,7-15 KM,10,1,0,1651.46124649992,213.516518691667,96978.8437899623
0puxzptnidofritpv090puxzpafniew0,Medellín,4,28,1,1,1,1,1,0,0,1,Tren,,20,No utilizo otros medios de transporte,,,,,,,,,,,,,,4600,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,,0,,Tren,,No requiero desplazarme,,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,,,D,Femenino,6.2551048,-75.602922,4.12781088292655,1-5 KM,10,0,1,1164.04266898529,0,60530.2187872349
0qdxynvumwaviivz3v7n0qd3dkmkcwi1,Medellín,3,30,1,1,1,1,1,1,1,1,Motocicleta 4T,,30,Bus o colectivo,,,,Gasolina,,150,5000,2017,60000,40000,800000,900000,2500000,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,,0,2,Motocicleta 4T,,No requiero desplazarme,,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,no,B,Femenino,6.226566,-75.566719,2.14138082883144,1-5 KM,14,2,1,1358.99905760416,589.30559168,101311.841762776
0rtahd6wy24s2ij0rtu18mea4rpkpaan,Itagüí,3,46,1,1,1,1,1,0,0,0,Tren,,30,Bus o colectivo,,,45,,,,,,,,,,,10500,0,1,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,1,,Taxi,,Tranvia,,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,medio ambiente,no tener vías adecuadas para mi desplazamiento,D,Masculino,6.1837464,-75.596051,7.55721098699047,7-15 KM,10,0,0,2131.13349833131,0,110818.941913228
0s4v9jqznggehzt0s4o4mlc2cbdun8l0,Medellín,4,48,1,1,1,1,1,0,0,1,Bus o colectivo,,50,Bus o colectivo,,,120,,,,,,,,,,,8800,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,,0,,Taxi,,No requiero desplazarme,,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,ACTUALMENTE UTILIZO EL TRANSPORTE PUBLICO,NINGUNO,C,Femenino,6.2709424,-75.5922725,7.05068940802839,7-15 KM,10,0,1,2316.05947196682,0,120435.092542275
0sygexvklxs0irfvytyqt0sygex61f6v,Medellín,5,45,1,1,1,1,1,1,0,0,Carro propio uso individual,,40,Carro propio uso individual,,,50,,,,,,,,,,,10000,1,1,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,0,0,Taxi,,No requiero desplazarme,,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,El tráfico excesivo,No,D,Masculino,6.2604875,-75.5921176,3.24698497086088,1-5 KM,12,0,0,10057.1225917681,0,522970.374771939
0vhj7x4fl6zx980vhj79vd3nvzjep1mf,Medellín,4,45,1,1,1,1,1,1,0,1,Transporte integrado,,15,Bus o colectivo,,,15,Diesel,,1400,,,,,,,,10000,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,"Se trabaja de acuerdo a proyectos, por lo tanto se ajusta el tiempo para su desarrollo.",1,,Transporte integrado,,Bus o colectivo,,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,No,No existen barreras,D,Femenino,6.260368,-75.5588599,1.86505183528824,1-5 KM,12,0,1,735.174230861998,0,38229.0600048239
0w1qwj3o8mmrt4m7qr0w1qwjfty8n81n,Envigado,4,38,0,0,0,0,0,0,0,1,Motocicleta 2T,,30,Motocicleta 4T,,,,Gasolina,,125,78000,2013,11000,55000,85000,600000,3000000,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,,1,,Taxi,,No requiero desplazarme,,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,"La bicicleta para hacer ejercicio, no me gusta el transporte pubkico por seguridad y salud",la accesibilidad desde mi lugar de residencia,A,Masculino,6.1483231,-75.5910855,8.59686934533739,7-15 KM,9,0,1,0,0,0
0x3xvw9v1hjf066280x332br2whwpsjp,Medellín,5,54,1,1,1,1,1,0,0,1,Bus o colectivo,,40,Taxi,,,30,,,,,,,,,,,4600,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,Comodidad,0,2,Taxi,,No requiero desplazarme,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Buen servicio público en Belén,Clima y actualmente el virus,D,Femenino,6.2289922,-75.5995447,4.05216623882399,1-5 KM,10,2,1,1331.08373611324,3355.4870869,243701.682796688
0xsk8ozqcenn8fn4bi1pko00xsk8ozqu,Copacabana,3,30,0,0,0,0,0,0,0,1,Motocicleta 4T,,60,Tren,,,,Gasolina,,200,30000,2019,140000,60000,500000,900000,1500000,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,Contribuir con la Contaminacion y la Movilidad de la Ciudad,0,10,Taxi,,Motocicleta 4T,,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,"Rapidez, Seguridad y Costo",Seguridad,A,Masculino,6.357621,-75.505078,16.6329724964419,7-15 KM,9,10,1,0,16777.4354345,872426.642594
0y8gva9guc34i2cfqe00y8gvash3py74,El Retiro,5,42,1,1,1,1,1,1,1,0,Carro propio uso individual,,55,No utilizo otros medios de transporte,,,,Gasolina,,1400,32000,2018,360000,0,800000,2300000,6000000,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,n.a.,1,,Carro propio uso individual,,Carro propio uso individual,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a.,Ubicación actual y desplazamientos constantes entre sedes,D,Masculino,6.057376,-75.503004,21.9752495894936,15-30 KM,14,0,0,62822.3063326779,0,3266759.92929925
10d0czz49kjrr3b9z10d0czxq0hotzc2,Medellín,2,34,1,1,1,1,1,1,0,0,Bus o colectivo,,30,Bicicleta mecanica,,,60,,,,,,,,,,,5000,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,0,0,Taxi,,Bus o colectivo,,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,cuidado del medio ambiente,ninguna,D,Masculino,6.2258264,-75.5420697,3.50421866415888,1-5 KM,12,0,0,1381.30812905643,0,71828.0227109343
11i812gta01f7jq70d211i88pzt9mt7v,Medellín,2,31,0,0,0,0,0,0,0,0,Bus o colectivo,,60,Motocicleta 2T,,,30,,,,,,,,,,,9500,1,1,1,1,1,0,1,1,0,1,0,,,,,,,,,,,,0,0,Transporte empresarial,,No requiero desplazarme,,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,"Bicicleta, pues es un medio que no contamina y ayuda en la salud.","Riesgo en las vías, debido que no cuento con una ciclo ruta cercana",A,Masculino,6.2745659,-75.6422688,9.3195045487131,7-15 KM,10,0,0,0,0,0
13bucitxgdk2wc13bp2qh3be7y84bphs,Bello,2,30,0,0,0,0,0,0,0,0,Transporte integrado,,60,No utilizo otros medios de transporte,,,,,,,,,,,,,,7000,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,Productividad,1,,Taxi,,A pie o caminata,,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,"Por temas de salud, economia y agilidad","Bicicleta, patineta y caminando",D,Femenino,6.3411758,-75.5655199,10.5783836726555,7-15 KM,10,0,0,0,0,0
13r9piygvpbm2zf2z1apari13r9piyg6,Medellín,5,41,1,1,1,1,1,0,0,0,Tren,,40,Taxi,,,20,,,,,,,,,,,10000,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,No se requiere 100% presencial,1,,Taxi,,Taxi,,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,Cuidado del medio ambiente,Comgestion en transporte publico,D,Masculino,6.25417,-75.5855005,2.27244391725808,1-5 KM,10,0,0,640.829184666779,0,33323.1176026725
1488gpk9mtj0514882hc00mkedrxog18,Medellín,4,56,1,1,1,1,1,0,0,1,Bus o colectivo,,30,Taxi,,,30,,,,,,,,,,,15000,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,Comodidad y menos riesgo,1,,Taxi,,No requiero desplazarme,,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,El medio ambiente,no se montar en bicicleta ni en patineta ni en moto,D,Femenino,6.247789,-75.6132906,5.14319239842537,5-7 KM,10,0,1,1689.47159365112,0,87852.5228698584
